"Variable_Name","If_Missing_Search_For"
"ALB","hyperalbuminemia; severe dehydration; dehydration; monoclonal gammopathy; high albumin; elevated albumin; liver disease; nephrotic syndrome; severe malnutrition; inflammatory bowel disease; systemic lupus erythematosus; rheumatoid arthritis; severe burns; sepsis; albumin disorder; hypoalbuminemia; low albumin; malnutrition; protein-losing enteropathy; plasma volume depletion; hemoconcentration; relative polycythemia; hepatic dysfunction; inflammatory disease; advanced heart failure; hypovolemia due to dehydration; fluid depletion; volume depletion; hypovolemia; high albumin levels; increased albumin; hyperproteinemia; increased plasma protein; elevated serum protein; protein concentration disorder"
"A1C","diabetes; impaired glycemic control; prediabetes; type 1 diabetes; type 2 diabetes; gestational diabetes; diabetic ketoacidosis; hyperglycemia; uncontrolled diabetes; elevated blood sugar; high blood sugar; poorly controlled diabetes; elevated hemoglobin a1c; insulin resistance; other specified diabetes mellitus; unspecified diabetes mellitus; glucose intolerance; hyperosmolar hyperglycemic state; hyperglycaemia; elevated blood glucose; elevated glucose; hyperglycemic hyperosmolar state; elevated a1c; diabetic coma; type one diabetes; type two diabetes; abnormal glucose metabolism"
"BMI","obesity; morbid obesity; grade i obesity; grade ii obesity; grade iii obesity; overweight; severe obesity; extreme obesity; pathological obesity; severely obese; extremely obese; excessive weight gain; adiposity; body mass index high; excessive weight; high body mass index; body mass index elevated; diet-induced obesity; obesity class 1; obesity class 2; obesity class 3; adipose tissue accumulation; abnormally high body mass; high bmi; obesity due to excess calories; abnormal body mass index; grade one obesity; grade two obesity; grade three obesity; high body fat; elevated body mass index"
"BP_SYSTOLIC","hypertension; elevated blood pressure; high blood pressure; essential hypertension; secondary hypertension; hypertensive crisis; prehypertension; elevated systolic blood pressure; primary hypertension; malignant hypertension; hypertensive heart disease; hypertensive renal disease; benign hypertension; pre-hypertension; hypertensive urgency; hypertensive emergency; hypertensive kidney disease; sustained high blood pressure; accelerated hypertension; systemic hypertension"
"BP_DIASTOLIC","hypertension; elevated blood pressure; high blood pressure; essential hypertension; secondary hypertension; hypertensive crisis; prehypertension; elevated diastolic blood pressure; primary hypertension; malignant hypertension; hypertensive heart disease; hypertensive renal disease; benign hypertension; pre-hypertension; hypertensive urgency; hypertensive emergency; hypertensive kidney disease; sustained high blood pressure; accelerated hypertension; systemic hypertension"
"CHOL","hypercholesterolemia; high cholesterol; dyslipidemia; hyperlipidemia; elevated cholesterol; familial hypercholesterolemia; atherosclerosis; hyperlipoproteinemia; secondary hypercholesterolemia; mixed hyperlipidemia; coronary artery disease; elevated lipids; atherosclerotic cardiovascular disease with hyperlipidemia; high total cholesterol"
"CREAT_C","renal failure; renal insufficiency; acute kidney injury; chronic renal failure; end stage renal disease; kidney disease; impaired kidney function; kidney failure; kidney insufficiency; acute kidney disease; chronic kidney disease; end-stage renal disease; glomerular disease; nephropathy; compromised kidney function; nephritis; uremia; kidney dysfunction; glomerular filtration rate decrease; renal impairment; glomerular dysfunction; reduced glomerular filtration rate; acute renal insufficiency; glomerulonephritis; tubular necrosis; acute renal failure; glomerular filtration rate decreased; decreased glomerular filtration rate; tubular disease; interstitial nephritis; azotaemia; pyelonephritis; acute kidney failure; azotemia; end-stage kidney disease; impaired renal function"
"CRP","sepsis; infection; autoimmune inflammatory syndrome; inflammation; systemic inflammatory response syndrome; vasculitis; rheumatoid arthritis; lupus; inflammatory bowel disease; osteomyelitis; pancreatitis; pneumonia; bacterial infection; viral infection; fungal infection; parasitic infection; appendicitis; meningitis; bronchitis; cellulitis; endocarditis; acute phase reaction; elevated c-reactive protein; elevated c reactive protein; arthritis; encephalitis; myocarditis; pericarditis; acute inflammatory response; chronic inflammatory disease; lupus erythematosus; urinary tract infection; diverticulitis; giant cell arteritis; polymyalgia rheumatica; psoriasis; ankylosing spondylitis; acute inflammation; chronic inflammation; inflammatory disease; severe infection; myocardial infarction; stroke; cancer; pyelonephritis; fever of unknown origin; hepatitis; cholecystitis; colitis; inflammatory arthritis; sinusitis; systemic inflammation; tissue damage; trauma; postoperative inflammation; malignancy"
"HCST","hyperhomocysteinemia; vitamin deficiency; homocystinuria; folate deficiency; vitamin b12 deficiency; vitamin b6 deficiency; b12 deficiency; elevated homocysteine; high homocysteine; pyridoxine deficiency; genetic homocysteine disorder; genetic homocystinuria; cardiovascular disease risk; cerebrovascular disease risk; peripheral vascular disease risk; thrombosis risk; genetic hyperhomocysteinemia; acquired hyperhomocysteinemia; cobalamin deficiency; mthfr gene mutation; b6 deficiency; thrombotic disorders; methylenetetrahydrofolate reductase deficiency; mthfr deficiency; metabolic disorder; genetic predisposition to high homocysteine"
"TRIG","hypertriglyceridemia; high triglycerides; dyslipidemia; hyperlipidemia; elevated triglycerides; familial hypertriglyceridemia; hyperlipoproteinemia; secondary hypertriglyceridemia; mixed hyperlipidemia; metabolic syndrome; elevated lipids; high serum triglycerides"
